web-scraper-order,web-scraper-start-url,shelfmark,shelfmark-href,all_link,all_link-href,h3_date,h3_startdate,h3_enddate,sub-all_link,sub-all_link-href
"1642687091-2214","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","10","https://handrit.is/en/manuscript/list.browser.pager/10?t:ac=keyword/kvad"
"1642686941-633","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Arngríms synir (Hjálmars kvæði)","https://handrit.is/en/manuscript/list/uniform?v=Arngr%C3%ADms+synir+%28Hj%C3%A1lmars+kv%C3%A6%C3%B0i%29"
"1642687064-1727","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","The Manorial Court Law","https://handrit.is/en/manuscript/view/AM04-0046#section_3","1485-1499","1485","1499","Standard","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/12/WEB_DISPLAY"
"1642686986-1062","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","«","https://handrit.is/en/manuscript/view/en/AM02-020-h","1590-1610","1590","1610","Home","https://handrit.is/en/"
"1642686941-539","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Alþingi hið nía","https://handrit.is/en/manuscript/list/uniform?v=Al%C3%BEingi+hi%C3%B0+n%C3%ADa"
"1642687087-2060","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","3","https://handrit.is/en/manuscript/list.browser.pager/3?t:ac=keyword/log"
"1642687061-1701","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","Om Edens Betydning","https://handrit.is/en/manuscript/view/AM04-0046#section_2"
"1642687059-1624","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","(164r-165r)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r#content"
"1642686986-1068","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","«","https://handrit.is/en/manuscript/view/en/AM02-020-h","1590-1610","1590","1610","More Details","https://handrit.is/en/biography/view/ArnMag001"
"1642687087-2129","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","10","https://handrit.is/en/manuscript/list.browser.pager/10?t:ac=keyword/log"
"1642686947-720","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","ÍB 70 4to","https://handrit.is/en/manuscript/view/is/IB04-0070"
"1642687052-1408","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Nine Articles passed by King Gustav and the Cou...","https://handrit.is/en/manuscript/view/AM04-0046#section_8","1485-1499","1485","1499","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r#content"
"1642687016-1229","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM08-265","1700-1730","1700","1730","","https://handrit.is/da/admin"
"1642687056-1555","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","On Severe Offences","https://handrit.is/en/manuscript/view/AM04-0046#section_6","1485-1499","1485","1499","Laws","https://handrit.is/en/manuscript/list/keyword/log"
"1642686941-674","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Aví, aví, mig auman mann! …","https://handrit.is/en/manuscript/list/uniform?v=Av%C3%AD%2C+av%C3%AD%2C+mig+auman+mann%21+%E2%80%A6"
"1642687054-1495","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_7","1485-1499","1485","1499","Uplandslagen. Codex juris Uplandici, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur3"
"1642687061-1704","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5"
"1642687056-1576","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","On Severe Offences","https://handrit.is/en/manuscript/view/AM04-0046#section_6","1485-1499","1485","1499","«","https://handrit.is/en/manuscript/view/en/AM04-0045"
"1642686941-634","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Arngrímur lögsagnari drepur útilegumann","https://handrit.is/en/manuscript/list/uniform?v=Arngr%C3%ADmur+l%C3%B6gsagnari+drepur+%C3%BAtilegumann"
"1642686969-997","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","15","https://handrit.is/en/manuscript/list.browser.pager/15?t:ac=keyword/sagnfr"
"1642687069-1857","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","High Quality","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/3/HIGH_QUALITY_DISPLAY"
