source_label,source,target_label,target
"Sweriges gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur3,,https://handrit.is/en/admin
"Nine Articles passed by King Gustav and the Cou...",https://handrit.is/en/manuscript/view/AM04-0046#section_8,»,https://handrit.is/en/manuscript/view/en/AM04-0047
,https://handrit.is/en/manuscript/list/keyword/sagnfr,,https://handrit.is/en/manuscript/view/da/AM04-0086
handrit.is,https://handrit.is/en/,"View All",https://handrit.is/en/manuscript/list/collection/KG
«,https://handrit.is/en/manuscript/view/en/AM02-0200,Statistics,https://handrit.is/en/statistics
Browse,https://handrit.is/en/manuscript/browse/uniform,Andrahaus,https://handrit.is/en/manuscript/list/uniform?v=Andrahaus
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_7,"More Details",https://handrit.is/en/biography/view/FreRos001
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,(148v-163v),https://handrit.is/en/manuscript/imaging/en/AM04-0046/148v-163v#content
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,Standard,https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/296/WEB_DISPLAY
«,https://handrit.is/en/manuscript/view/en/AM02-020-h,"More Details",https://handrit.is/en/biography/view/WilWor001
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/Rask115,"Rasmus Rask",https://handrit.is/da/biography/view/RasRas001
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_7,"Canon law",https://handrit.is/en/manuscript/list/keyword/klog
,https://handrit.is/en/admin,Search,https://handrit.is/en/search/regular
Browse,https://handrit.is/en/manuscript/browse/uniform,"Alþingis og héraðsdómar 1489-1746",https://handrit.is/en/manuscript/list/uniform?v=Al%C3%BEingis+og+h%C3%A9ra%C3%B0sd%C3%B3mar+1489-1746
Browse,https://handrit.is/en/manuscript/browse/uniform,Argenis,https://handrit.is/en/manuscript/list/uniform?v=Argenis
"Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur10,,https://handrit.is/en/manuscript/view/da/AM04-0053
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4
«,https://handrit.is/en/manuscript/view/en/AM04-0045,Remedies,https://handrit.is/en/manuscript/view/en/AM04-0045#section_3
Browse,https://handrit.is/en/manuscript/browse/uniform,"Aðskiljanlegar Historiur",https://handrit.is/en/manuscript/list/uniform?v=A%C3%B0skiljanlegar+Historiur
